01,1614.4449271378996,1612.9573484969,1608.333140506275,1594.5264268509,1761.1787018529,1787.2008425720876,2244.762777523212,2471.9001212601875,2577.73065923905,2633.8648597596757,2667.7659652157754,2680.596728842625,2644.3269395036,2668.9238554788876,2666.141415420488,2663.1572019396003,2674.9461993404498,2687.334959401625,2192.207228788525,2140.5964493564,1855.4190666059,1795.7760081324,1647.3979899715248,1613.648273190775
02,1749.4200376074766,1743.3342814970154,1740.027741003092,1746.217773988246,1933.364166956131,1950.1853233202846,2408.1324495329072,2600.4101136913155,2652.030733457146,2677.240715608585,2688.971794995785,2692.0556243043848,2647.2835870719073,2672.1741875603393,2672.54091818797,2673.432783367862,2686.9289828647698,2697.3035311679005,2266.146501390361,2255.8227116645157,1968.2748800676695,1920.4879122264383,1786.6756483638615,1773.4806596470921
03,1801.9857487416305,1798.6968397613232,1791.4146111637842,1891.121022271169,1949.048250291323,2226.5751779811694,2509.909825342454,2612.294242550185,2646.3276559279616,2658.4111484225696,2655.156139362077,2624.933651927769,2620.0836632078467,2627.9326291389234,2625.602491657385,2633.5987823174623,2640.4458534622313,2378.994733496708,2227.4020182893614,2066.615039795131,1942.1209227661307,1856.4209869457459,1813.4027914357075,1798.6795908443225
04,1826.1013128522334,1824.704500195983,1822.7235284879828,2001.7053247245667,1998.3678287645416,2447.3500010773582,2632.0401371433995,2668.0636702864167,2675.8858328748925,2673.80810203025,2661.965368915083,2611.6144610105002,2629.4470742873336,2624.7208173941667,2618.668827725334,2629.3395866955,2628.5235059149168,2199.1718313314004,2231.0748348020666,1998.9878325599,1974.6377539614834,1857.5965029308165,1852.6442326519834,1825.3168365275662
05,1701.7163639734001,1707.6035179300998,1711.9807097144999,1894.4361807837,1897.57783176415,2335.61187543155,2512.3526827933997,2539.7267260516,2563.0178736244006,2578.4340918579005,2582.6318921441,2542.4783193391,2568.7651188096,2571.8631654633004,2577.2220338778,2600.5150858507004,2607.0693816736994,2106.6243179464996,2105.2383275361,1850.3507396943,1823.2362311586003,1709.7173289725001,1719.6091937525998,1704.3128313671998
06,1635.5371426293998,1640.3099239341645,1643.6405256967528,1828.280787052959,1835.1652164926822,2287.6331863882933,2487.6529729954113,2534.196809715412,2573.527458390765,2604.6769453514707,2616.8368018746473,2582.748710315706,2615.0066996926475,2623.7697173189995,2631.4535907583536,2649.847660027,2653.3987438815884,2080.4918019474585,2072.844597193359,1818.7025102115822,1780.5014708447236,1655.5214800714584,1655.3090145275175,1632.257072273106
07,1630.7203573171857,1625.7084135880427,1622.9447142293284,1805.5415750570432,1833.962696551,2301.304944067357,2524.5626533064287,2583.568822441071,2623.4378389406434,2650.7524473023577,2663.0488325647857,2631.1692421767143,2665.0735236527858,2672.100535466357,2677.947920800143,2695.4488209904293,2696.351994110428,2088.1408277738783,2076.597042671636,1819.8421950958432,1780.8372642478002,1657.1449983433572,1657.4507380473285,1631.7871332675427
08,1631.9499396330664,1636.4408375404555,1643.6407982241221,1825.7071171315667,1843.4089948926,2305.6813896203885,2500.7961009795554,2547.9736183690557,2592.0123572641114,2626.762553191723,2641.2856261217225,2609.058700419556,2642.369558900444,2649.1197333837226,2655.1845231545,2672.9452936439448,2676.429273888056,2084.097263346967,2076.309719419022,1812.7026046370388,1774.5399045351833,1651.397713846283,1651.0938289858225,1627.4498717042384
09,1663.3571379645248,1667.2160604889,1675.2002981692751,1859.5395106029625,1857.7967889582812,2313.1719791911873,2495.7748455797505,2535.8584951649377,2564.056384863251,2583.037149197375,2597.0331037088126,2565.2587580390623,2598.925711635312,2606.0987082384377,2611.4116400291878,2628.6640023558134,2631.2217273570623,2112.9859557647123,2124.359204732713,1856.697109709025,1815.1863848056498,1692.8940358879,1696.5431067741497,1678.4220943308376
10,1807.7714035814,1805.4209723617332,1801.0212447394,1977.9636229426499,1980.5109695646586,2440.7474586700087,2618.384408328642,2646.0451306459586,2652.513777466059,2648.969616148125,2639.72978555515,2588.6903288302415,2606.5694924899003,2602.924964487833,2600.7859327424167,2614.1165201765007,2617.2431222215005,2204.72351784315,2232.3935089846505,1974.6512266049,1939.8705511123171,1823.8362032523164,1824.8208037258166,1794.6703841124
11,1721.3629626137997,1715.7369532672665,1702.3672779546666,1718.6013877477333,1874.7381055634671,1935.5806032225466,2341.8909645839667,2531.9728741824065,2603.8305859854,2635.6838711229666,2647.191697387813,2635.8517245598537,2600.3855355921064,2629.5300618513,2641.1394080752,2644.8930656224666,2661.115738424334,2628.5287720555866,2244.4859522356337,2189.5567750313,1931.5367032046333,1866.0112690658336,1742.5378464895332,1719.7079460466
12,1583.5476538884,1563.3519324321,1556.4497720548,1570.1633940891,1770.1850271883002,1812.9427521018501,2244.94071355786,2453.00755030631,2583.63472880873,2643.11796471769,2679.61260400802,2692.7093091258203,2655.9913670898,2686.183853666301,2690.203671866,2692.5282301745005,2714.6447047223,2720.403394238,2247.7703026533,2214.5257302068994,1923.2137276721999,1843.2262651248998,1687.7703083280999,1676.0520314823996
