01,149.31846801822962,151.46022186485575,153.32282227711633,154.8834647282582,148.55748547018163,225.41409490771719,168.6219990869932,173.58133137875117,166.23946765662615,157.95331221634743,161.70682266103813,157.12869766769086,153.32568255105477,148.09008759157965,139.91896061202348,138.15408580558892,144.16179117412835,143.741696056273,142.9829540907718,137.5011593669561,149.82612069084652,149.2876255495453,149.82306372926695,148.2812916562974
02,196.83800755589746,196.91624235206103,201.44965788255294,203.88532514600593,196.19815749062863,328.31561171827644,235.0553708548276,222.8840235164214,219.44781209181747,209.47423598889708,213.20325392658896,208.93470834201466,201.72977914633282,191.89491879875288,183.40266673954915,184.78776572198586,192.4791268816128,191.56730761941296,188.29419885807607,182.60788135707986,200.3886981459247,199.73031414739572,203.5114858608198,203.9083478512165
03,149.5028910599454,151.71639946865474,154.03882717258705,150.25096477304353,190.44109762427848,172.70018907762164,173.8320269351098,165.89025726853635,156.19793645742686,158.25097683638563,157.16770172443603,152.95790360398684,148.9694579476751,141.05612138541485,134.4995810245835,140.6746518725559,141.97021681409947,144.87947213455166,141.44678561195173,151.80357083734816,153.25507716935533,154.00698280299147,152.57303969205338,150.6707799610705
04,152.5359586242489,153.44642151083397,155.5872588870297,150.91656965624063,196.59428304426513,158.59399258663345,167.1510765410283,161.780324335966,150.27667129824675,157.73638381177454,154.4921738396004,149.96853747683727,144.36082202476396,135.84924055546176,129.7237543104247,136.37620340354593,133.92968523382098,137.52961376180755,135.15897668877076,153.29160768114406,151.65769406615965,153.51626530536993,151.56384629672192,150.16002977484806
05,125.49851526457526,128.35170084842474,128.8157141767213,126.33524977107004,163.89020582123587,131.1714015658319,135.41279887159277,131.53202396366515,123.25848450999175,128.69220908770018,126.67580792051797,123.77120170062665,118.51772625862745,110.9947502288209,107.11189270689742,112.9219371767102,109.99761321838824,114.48447950354189,112.4122128992681,128.03479362915627,128.2248871037536,129.82630543163563,129.19027787854336,128.21664138814185
06,156.82433909346702,166.20429303252251,170.30327977408749,167.71482703973223,214.9411457800816,166.12554985652383,159.06588444124665,146.8409862294554,118.01143426153298,109.82225365473926,96.76985554227322,86.41485983203555,76.11914100195101,62.40627582136861,59.77357787428084,71.46905479046286,65.73286219776998,80.71827517695732,78.72275628363207,108.81638219168885,117.6044416710946,130.49564585794053,139.08217014805712,148.0011170849524
07,122.03019048203721,131.83383628066647,139.44272101020044,134.4077386073011,169.1660887391377,123.08933061785059,121.21717122301565,108.65478891791462,82.06259414381435,84.72930019481839,76.33644869928314,66.67593036538885,54.872098617143024,42.68660010495195,47.55161717996434,62.49362653367427,62.0351359210067,72.86269166716438,63.67088071193577,81.94738180382879,83.48385991424355,94.28404774078163,99.5681154313127,108.96463947400838
08,125.57117043079634,135.38134728815936,141.23074975926278,137.36138225042473,183.31920360458082,144.02465177612686,139.91178890135546,120.63925003231131,89.33975923716244,82.90350366219701,72.49425679678967,67.11769301164549,59.773695503412405,49.47004243518515,51.45157926859538,62.113184423218556,58.06823479023576,71.87731085603546,72.80556402039848,99.18200368259316,103.27915153928897,114.33264992137796,118.34933790400365,126.3586563658795
09,103.7800843117575,105.7243528377311,106.59501909347362,102.78560867560887,132.8091950234594,106.02426998715961,106.99147321917313,104.15486844273251,99.42016547714562,108.20737740702207,106.94233611996752,101.84865155160708,95.96865132393457,86.81094562733587,87.12321638062305,90.78653407316087,90.25662541839367,97.42729659719011,94.23649070891325,108.94880431269095,107.48588927274207,110.1576070708107,109.52372782756859,108.88597599903008
10,91.85308993931949,93.43138015021665,93.93200367608952,90.90769117835586,126.89855162568483,99.04365939767223,101.82129201339866,97.5335594562706,89.89079258620603,92.29632289886447,90.54004097022245,87.9562850592364,84.06020771874137,78.10721529571013,76.6937639708078,81.76896247941252,82.44465143553123,86.8470443969143,84.54433323305618,93.81072346511249,93.01018799876535,94.00725226960904,92.1777470762531,92.68121544735101
11,114.46912794858292,114.04886944301245,117.93600879098187,117.38831133394103,117.18357308163235,142.39668662412708,134.93647803933055,123.89439785150552,117.98678010053442,113.83675628433744,116.50237885551516,114.45765460983208,111.24970587643226,105.4232268462307,96.35129907840772,101.0827039021975,107.74012409887104,113.90093172339753,115.42526805028352,114.66979522385185,121.88972168906214,120.98916717147736,122.88742956010555,123.99972809747483
12,138.14252148938735,140.76334782567608,144.77294995471522,149.73444295901544,147.14068780292342,208.02755050507696,160.4776278478749,165.5192509669498,152.57561928689174,144.17412821651288,146.9692510778265,142.0581388603349,136.87161258896558,132.0512621728832,124.76583279527343,121.29294077779188,129.78572985090517,130.06683228714823,131.21790777341232,126.01324174699668,137.74106725102797,136.66463794779096,137.90003620387876,136.1843041061529
